ID,SKILL,FIELD,EDUCATION_LEVEL,EXPERIENCE,ALLOW_WFH
786,"OBJECTIVE-C,C/C++",CS,DBM,MERN STACK DEVELOPER,1
787,JAVA,CS,BM,"REACTJS DEVELOPER,MEAN STACK DEVELOPER",1
788,"SQL,JAVA,C/C++",IT,DBM,RUBY ON RAILS DEVELOPER,0
789,HTML,CS,B,,0
790,"JAVASCRIPT,PYTHON",IT,BM,"FRONTEND DEVELOPER,JAVASCRIPT DEVELOPER",0
791,KOTLIN,IT,DBM,,1
792,"HTML,COBOL",CS,DB,PYTHON DEVELOPER,0
793,"KOTLIN,DART,PERL",CS,B,"BACKEND DEVELOPER,MEAN STACK DEVELOPER",1
794,"PERL,JAVASCRIPT,C/C++",IT,BMP,"DATA SCIENTIST,REACTJS DEVELOPER",1
795,"SWIFT,C/C++",CS,DB,JAVASCRIPT DEVELOPER,0
796,"RUBY,RUST,JULIA",IT,B,"FULL STACK DEVELOPER,FULL STACK DEVELOPER",1
797,"R,JULIA,RUBY",IT,DBMP,"FRONTEND DEVELOPER,REACTJS DEVELOPER",0
798,"RUBY,PERL,JAVASCRIPT",IT,DBMP,MEAN STACK DEVELOPER,1
799,HTML,IT,DB,"BACKEND DEVELOPER,MEAN STACK DEVELOPER",1
800,C#,CS,DBMP,MEAN STACK DEVELOPER,0
801,"RUBY,JAVASCRIPT",IT,BMP,,1
802,"SWIFT,PHP,SQL",CS,B,"DATA ANALYST,WEB DEVELOPER",1
803,CSS,CS,BM,MERN STACK DEVELOPER,1
804,"RUBY,PYTHON,R",CS,B,WEB DEVELOPER,0
805,R,CS,DBMP,"MERN STACK DEVELOPER,PRODUCT MANAGER",1
806,"C#,JAVA",IT,BMP,DATA ANALYST,1
807,"SWIFT,PYTHON",CS,DB,,1
808,"RUBY,JULIA,PERL",CS,BM,MERN STACK DEVELOPER,1
809,"JAVASCRIPT,FORTRAN,JAVA",IT,DB,,0
810,"OBJECTIVE-C,KOTLIN",CS,DBM,FULL STACK DEVELOPER,0
811,JAVA,CS,BMP,,1
812,"JULIA,KOTLIN",CS,BMP,"PRODUCT MANAGER,MERN STACK DEVELOPER",1
813,"JAVA,OBJECTIVE-C",CS,DBMP,,1
814,"KOTLIN,JULIA",IT,BMP,REACTJS DEVELOPER,0
815,"KOTLIN,CSS",IT,DBM,,0
816,"JAVA,FORTRAN",IT,B,,0
817,RUST,IT,DB,"FRONTEND DEVELOPER,PYTHON DEVELOPER",1
818,JULIA,IT,DB,,1
819,"PHP,JAVASCRIPT",IT,DB,"BACKEND DEVELOPER,BACKEND DEVELOPER",0
820,"SWIFT,COBOL",IT,DBMP,"REACTJS DEVELOPER,DATA SCIENTIST",0
821,"PHP,KOTLIN",CS,DB,"MEAN STACK DEVELOPER,BACKEND DEVELOPER",1
822,"COBOL,PERL",CS,DBMP,"DATA SCIENTIST,REACTJS DEVELOPER",1
823,"OBJECTIVE-C,HTML",CS,BMP,"WEB DEVELOPER,FULL STACK DEVELOPER",1
824,"FORTRAN,C#",CS,DBM,"RUBY ON RAILS DEVELOPER,PYTHON DEVELOPER",0
825,"FORTRAN,CSS,RUST",CS,DBM,"MEAN STACK DEVELOPER,FRONTEND DEVELOPER",0
826,RUST,CS,BMP,FULL STACK DEVELOPER,1
827,C#,IT,DB,"DATA ANALYST,JAVASCRIPT DEVELOPER",0
828,"PYTHON,SQL",CS,DBMP,"FRONTEND DEVELOPER,BACKEND DEVELOPER",0
829,"CSS,PERL,KOTLIN",IT,BMP,,1
830,"COBOL,PHP",CS,B,,1
831,RUST,IT,BM,,1
832,RUBY,IT,B,,1
833,HTML,IT,BMP,MEAN STACK DEVELOPER,0
834,COBOL,CS,B,"FULL STACK DEVELOPER,MEAN STACK DEVELOPER",1
835,RUBY,IT,BMP,"REACTJS DEVELOPER,WEB DEVELOPER",0
836,HTML,IT,DBMP,"FRONTEND DEVELOPER,REACTJS DEVELOPER",1
837,"OBJECTIVE-C,C#",CS,BMP,DATA SCIENTIST,1
838,"HTML,OBJECTIVE-C,COBOL",IT,DBMP,"DATA ANALYST,REACTJS DEVELOPER",0
839,"JAVASCRIPT,PYTHON",CS,DB,,0
840,OBJECTIVE-C,CS,BM,"RUBY ON RAILS DEVELOPER,WEB DEVELOPER",0
841,C/C++,IT,BM,REACTJS DEVELOPER,0
842,"R,PHP",CS,B,"MERN STACK DEVELOPER,WEB DEVELOPER",1
843,"OBJECTIVE-C,C/C++",IT,BM,"RUBY ON RAILS DEVELOPER,PYTHON DEVELOPER",1
844,"PYTHON,SQL,PHP",IT,DBM,DATA SCIENTIST,0
845,"PHP,C#",IT,DB,BACKEND DEVELOPER,1
846,DART,IT,BM,,1
847,"OBJECTIVE-C,SWIFT",CS,BMP,"DATA ANALYST,BACKEND DEVELOPER",1
848,"RUBY,PYTHON,RUST",CS,BMP,"DATA SCIENTIST,REACTJS DEVELOPER",0
849,HTML,CS,DBM,"DATA SCIENTIST,FULL STACK DEVELOPER",0
850,"SWIFT,PYTHON",CS,DBMP,"MEAN STACK DEVELOPER,FRONTEND DEVELOPER",0
851,"RUST,HTML",CS,DBM,,1
852,PYTHON,IT,BMP,,0
853,"PYTHON,COBOL",IT,DBMP,MEAN STACK DEVELOPER,1
854,"SWIFT,PYTHON,JULIA",CS,DBMP,"PYTHON DEVELOPER,REACTJS DEVELOPER",0
855,"DART,PYTHON,JULIA",CS,DBMP,MERN STACK DEVELOPER,1
856,DART,IT,DBMP,RUBY ON RAILS DEVELOPER,0
857,"COBOL,PERL,SQL",IT,BM,DATA SCIENTIST,0
858,SQL,IT,DBM,,0
859,"CSS,JAVASCRIPT,PERL",IT,BMP,"DATA ANALYST,REACTJS DEVELOPER",1
860,"FORTRAN,DART",CS,DB,"BACKEND DEVELOPER,WEB DEVELOPER",1
861,"PERL,CSS,FORTRAN",IT,DBM,DATA SCIENTIST,1
862,"RUBY,PHP",CS,DB,"RUBY ON RAILS DEVELOPER,JAVASCRIPT DEVELOPER",0
863,"PHP,R",IT,BM,,0
864,"JULIA,SQL,C/C++",IT,DB,DATA ANALYST,1
865,"DART,JULIA",IT,BMP,,1
866,"PYTHON,HTML",CS,DBMP,FULL STACK DEVELOPER,0
867,"OBJECTIVE-C,JAVASCRIPT",CS,DB,FRONTEND DEVELOPER,0
868,"JAVASCRIPT,FORTRAN",IT,BM,,1
869,"PHP,COBOL,FORTRAN",CS,DB,BACKEND DEVELOPER,1
870,"PHP,JULIA",CS,BM,,0
871,"PERL,DART",IT,BM,,0
872,C#,CS,BMP,MEAN STACK DEVELOPER,0
873,"RUST,KOTLIN",CS,BMP,REACTJS DEVELOPER,0
874,OBJECTIVE-C,IT,DBM,"JAVASCRIPT DEVELOPER,RUBY ON RAILS DEVELOPER",1
875,"JAVA,PERL,RUBY",CS,BM,JAVASCRIPT DEVELOPER,1
876,DART,CS,BM,"DATA SCIENTIST,MEAN STACK DEVELOPER",1
877,RUST,CS,DBM,,1
878,C#,IT,DBMP,FRONTEND DEVELOPER,0
879,"R,SWIFT",IT,DB,"WEB DEVELOPER,PYTHON DEVELOPER",0
880,SQL,CS,BMP,MERN STACK DEVELOPER,1
881,PERL,CS,BMP,"FRONTEND DEVELOPER,DATA ANALYST",0
882,"JULIA,CSS",IT,DB,,1
883,PERL,CS,BMP,,0
884,SQL,IT,DBM,"WEB DEVELOPER,PRODUCT MANAGER",0
885,"PERL,PYTHON,JULIA",CS,B,,1
886,"C/C++,R",CS,BMP,"MEAN STACK DEVELOPER,FULL STACK DEVELOPER",1
887,"COBOL,JAVASCRIPT",IT,DBMP,"RUBY ON RAILS DEVELOPER,BACKEND DEVELOPER",0
888,C/C++,IT,B,JAVASCRIPT DEVELOPER,0
889,"C#,SWIFT",IT,DBM,"RUBY ON RAILS DEVELOPER,DATA SCIENTIST",0
890,"JULIA,KOTLIN,JAVA",IT,B,FRONTEND DEVELOPER,0
891,"RUST,COBOL",IT,DBM,"JAVASCRIPT DEVELOPER,PYTHON DEVELOPER",1
892,"C#,DART",CS,DB,"JAVASCRIPT DEVELOPER,FULL STACK DEVELOPER",0
893,"HTML,FORTRAN,SWIFT",CS,DBMP,DATA SCIENTIST,1
894,"FORTRAN,RUST,C/C++",IT,DBMP,PYTHON DEVELOPER,1
895,"SWIFT,FORTRAN,JAVA",CS,DBM,PYTHON DEVELOPER,0
896,"JAVA,PERL,PYTHON",CS,DB,,0
897,"DART,KOTLIN,SQL",IT,DB,,1
898,"HTML,PHP,KOTLIN",CS,DBM,"FULL STACK DEVELOPER,BACKEND DEVELOPER",1
899,RUBY,CS,BM,,1
900,DART,CS,BM,,0
901,"PHP,RUST",CS,DBMP,REACTJS DEVELOPER,1
902,"CSS,DART,PHP",CS,DB,PYTHON DEVELOPER,0
903,COBOL,IT,DB,FRONTEND DEVELOPER,1
904,"R,HTML,SWIFT",IT,DBMP,RUBY ON RAILS DEVELOPER,0
905,"COBOL,OBJECTIVE-C",CS,DBM,,1
906,CSS,CS,BM,"WEB DEVELOPER,REACTJS DEVELOPER",0
907,"C#,OBJECTIVE-C",CS,DBMP,"MERN STACK DEVELOPER,WEB DEVELOPER",0
908,"R,KOTLIN",CS,DBMP,,0
909,JAVASCRIPT,CS,DB,,1
910,"PYTHON,PHP",IT,DB,MERN STACK DEVELOPER,1
911,RUBY,CS,DB,"BACKEND DEVELOPER,JAVASCRIPT DEVELOPER",1
912,JULIA,CS,DBMP,WEB DEVELOPER,0
913,"R,COBOL",IT,DBM,WEB DEVELOPER,0
914,"RUST,SQL,R",IT,DBM,PYTHON DEVELOPER,1
915,"CSS,FORTRAN",IT,DBM,"MERN STACK DEVELOPER,MEAN STACK DEVELOPER",0
916,PHP,IT,BMP,MERN STACK DEVELOPER,1
917,JAVA,CS,BMP,"BACKEND DEVELOPER,PYTHON DEVELOPER",1
918,SQL,CS,DB,PYTHON DEVELOPER,1
919,"RUST,PYTHON",IT,DBM,"BACKEND DEVELOPER,MERN STACK DEVELOPER",0
920,OBJECTIVE-C,CS,B,"MEAN STACK DEVELOPER,FULL STACK DEVELOPER",1
921,PHP,CS,DBMP,,1
922,OBJECTIVE-C,IT,DB,,1
923,"JULIA,FORTRAN",IT,B,DATA ANALYST,0
924,PYTHON,CS,DB,"FRONTEND DEVELOPER,PRODUCT MANAGER",1
925,"PERL,RUST",IT,DBM,BACKEND DEVELOPER,0
926,OBJECTIVE-C,CS,DB,"PRODUCT MANAGER,BACKEND DEVELOPER",1
927,"PERL,FORTRAN",CS,DBMP,,1
928,CSS,IT,B,,0
929,"RUBY,C/C++",CS,BM,"JAVASCRIPT DEVELOPER,DATA SCIENTIST",1
930,"COBOL,DART",IT,DBM,REACTJS DEVELOPER,0
931,"COBOL,PHP,PERL",IT,DB,"MEAN STACK DEVELOPER,FRONTEND DEVELOPER",0
932,"CSS,PYTHON",CS,DBMP,"FRONTEND DEVELOPER,BACKEND DEVELOPER",1
933,"CSS,RUST,DART",CS,B,"REACTJS DEVELOPER,MEAN STACK DEVELOPER",1
934,KOTLIN,CS,BMP,PYTHON DEVELOPER,0
935,RUBY,IT,DBM,JAVASCRIPT DEVELOPER,0
936,"COBOL,KOTLIN",CS,DB,PYTHON DEVELOPER,0
937,COBOL,CS,DB,MERN STACK DEVELOPER,0
938,"PHP,OBJECTIVE-C,C/C++",IT,DBMP,WEB DEVELOPER,1
939,PHP,IT,B,"WEB DEVELOPER,RUBY ON RAILS DEVELOPER",0
940,"PERL,SQL,HTML",CS,DBM,JAVASCRIPT DEVELOPER,0
941,"R,SWIFT,FORTRAN",IT,DBM,,0
942,RUST,IT,DBM,RUBY ON RAILS DEVELOPER,1
943,"KOTLIN,R",IT,BM,DATA ANALYST,1
944,PHP,CS,DB,"JAVASCRIPT DEVELOPER,FRONTEND DEVELOPER",1
945,"C/C++,OBJECTIVE-C,SWIFT",IT,DB,"DATA SCIENTIST,FRONTEND DEVELOPER",1
946,"JAVASCRIPT,PHP,SQL",CS,B,DATA ANALYST,1
947,C#,CS,DB,"MERN STACK DEVELOPER,MEAN STACK DEVELOPER",0
948,"HTML,KOTLIN,RUBY",IT,BM,MERN STACK DEVELOPER,0
949,COBOL,IT,DBMP,REACTJS DEVELOPER,0
950,"HTML,JULIA,C/C++",CS,DB,PRODUCT MANAGER,1
951,JAVA,CS,DB,,0
952,"SWIFT,R",IT,BM,,1
953,"SQL,COBOL",IT,DBMP,"PRODUCT MANAGER,WEB DEVELOPER",1
954,DART,CS,DB,,0
955,"C/C++,PERL,DART",IT,DB,,0
956,"RUBY,HTML,JULIA",CS,BMP,BACKEND DEVELOPER,1
957,FORTRAN,IT,DBMP,,1
958,"DART,OBJECTIVE-C",CS,B,DATA ANALYST,0
959,PYTHON,CS,BMP,REACTJS DEVELOPER,1
960,PYTHON,CS,BMP,"WEB DEVELOPER,REACTJS DEVELOPER",0
961,"RUST,JAVA,DART",IT,B,,0
962,"PHP,PERL",CS,DBMP,"REACTJS DEVELOPER,REACTJS DEVELOPER",0
963,"JAVASCRIPT,PYTHON",IT,BM,,0
964,"JAVASCRIPT,R",CS,B,PRODUCT MANAGER,0
965,RUBY,CS,DB,PRODUCT MANAGER,0
966,"HTML,KOTLIN",IT,BMP,DATA SCIENTIST,0
967,"SQL,CSS,PYTHON",IT,DBMP,"REACTJS DEVELOPER,MERN STACK DEVELOPER",1
968,"OBJECTIVE-C,DART,C/C++",IT,DBM,FULL STACK DEVELOPER,0
969,"SQL,FORTRAN,C/C++",CS,B,JAVASCRIPT DEVELOPER,0
970,"OBJECTIVE-C,DART,RUST",CS,DBM,"PYTHON DEVELOPER,DATA ANALYST",1
971,"SQL,C/C++,SWIFT",IT,DB,"JAVASCRIPT DEVELOPER,MEAN STACK DEVELOPER",0
972,"COBOL,JULIA,DART",IT,BMP,"PYTHON DEVELOPER,BACKEND DEVELOPER",1
973,"RUBY,R,OBJECTIVE-C",IT,BM,"FULL STACK DEVELOPER,DATA SCIENTIST",1
974,"C#,COBOL",CS,DBM,"JAVASCRIPT DEVELOPER,BACKEND DEVELOPER",0
975,"KOTLIN,C#",CS,BM,,1
976,PYTHON,CS,BM,PRODUCT MANAGER,1
977,"JAVA,JAVASCRIPT,KOTLIN",CS,BM,,0
978,"JAVA,PHP,DART",CS,DBM,MEAN STACK DEVELOPER,1
979,SWIFT,CS,B,"DATA SCIENTIST,DATA SCIENTIST",1
980,"PHP,SWIFT,DART",CS,DBM,"FRONTEND DEVELOPER,DATA ANALYST",0
981,"JAVA,RUST,HTML",CS,B,,0
982,"FORTRAN,CSS,R",IT,DBMP,PYTHON DEVELOPER,1
983,"CSS,RUBY",CS,B,"BACKEND DEVELOPER,PRODUCT MANAGER",1
984,SQL,IT,BMP,FULL STACK DEVELOPER,0
985,"JAVASCRIPT,COBOL",IT,BMP,,1
986,"JAVA,RUST",CS,DB,"MERN STACK DEVELOPER,DATA ANALYST",1
987,"JAVASCRIPT,JAVA,FORTRAN",IT,DB,"MEAN STACK DEVELOPER,FULL STACK DEVELOPER",1
988,"R,DART",IT,DBM,"PRODUCT MANAGER,FRONTEND DEVELOPER",1
989,"DART,PERL",CS,BM,"BACKEND DEVELOPER,PYTHON DEVELOPER",0
990,"CSS,HTML,KOTLIN",CS,DBM,"PYTHON DEVELOPER,JAVASCRIPT DEVELOPER",0
991,PHP,IT,BMP,,0
992,"OBJECTIVE-C,SQL,DART",IT,DBM,MERN STACK DEVELOPER,0
993,"HTML,RUBY",IT,DBMP,"MERN STACK DEVELOPER,JAVASCRIPT DEVELOPER",1
994,"PHP,KOTLIN",CS,BMP,,0
995,"DART,PYTHON,FORTRAN",IT,BMP,FRONTEND DEVELOPER,1
996,"PHP,RUST",CS,DB,BACKEND DEVELOPER,0
997,JAVASCRIPT,CS,DBMP,"DATA ANALYST,PYTHON DEVELOPER",1
998,"JAVASCRIPT,DART",IT,B,PYTHON DEVELOPER,1
999,PERL,IT,BMP,"DATA ANALYST,FRONTEND DEVELOPER",0
1000,PHP,IT,DB,"PYTHON DEVELOPER,RUBY ON RAILS DEVELOPER",1
1001,"SWIFT,RUST",IT,DBMP,"WEB DEVELOPER,BACKEND DEVELOPER",0
1002,"CSS,FORTRAN,PYTHON",IT,DBM,"JAVASCRIPT DEVELOPER,WEB DEVELOPER",0
1003,PERL,IT,DBMP,WEB DEVELOPER,1
1004,"OBJECTIVE-C,CSS",CS,BM,PRODUCT MANAGER,0
1005,JULIA,CS,DB,REACTJS DEVELOPER,1
1006,FORTRAN,IT,DBM,,0
1007,RUBY,CS,DB,,0
1008,"PHP,SWIFT",CS,DBM,REACTJS DEVELOPER,1
1009,"JAVA,C#",CS,BM,,0
1010,"JAVA,C/C++",CS,B,PYTHON DEVELOPER,1
1011,"SWIFT,JAVASCRIPT,CSS",CS,B,MERN STACK DEVELOPER,1
1012,"OBJECTIVE-C,JULIA,JAVA",CS,BMP,"MEAN STACK DEVELOPER,DATA ANALYST",0
1013,"RUST,JULIA",CS,DBM,BACKEND DEVELOPER,0
1014,"PYTHON,C#,OBJECTIVE-C",IT,B,,1
1015,"PHP,RUST",CS,BM,BACKEND DEVELOPER,1
1016,"CSS,RUBY,JAVASCRIPT",CS,B,"PYTHON DEVELOPER,PYTHON DEVELOPER",1
1017,"CSS,HTML,RUST",IT,DBM,,1
1018,"HTML,SQL",CS,DBMP,MEAN STACK DEVELOPER,0
1019,"SQL,C#,CSS",IT,DBMP,"MERN STACK DEVELOPER,PRODUCT MANAGER",1
1020,"PHP,FORTRAN",CS,BMP,,0
1021,FORTRAN,IT,DBM,,0
1022,"KOTLIN,OBJECTIVE-C,HTML",IT,BM,"MEAN STACK DEVELOPER,MERN STACK DEVELOPER",0
1023,"C#,CSS",IT,BM,,1
1024,HTML,CS,BM,"MEAN STACK DEVELOPER,BACKEND DEVELOPER",1
1025,JAVA,IT,B,"MERN STACK DEVELOPER,FRONTEND DEVELOPER",0
1026,"PYTHON,RUST",IT,DB,,0
1027,C/C++,IT,DBMP,PRODUCT MANAGER,0
1028,R,CS,BMP,WEB DEVELOPER,0
1029,"C#,JULIA,COBOL",CS,BM,,1
1030,RUBY,CS,BMP,,1
1031,"CSS,DART,RUBY",CS,DBMP,BACKEND DEVELOPER,0
1032,"HTML,R",CS,BM,JAVASCRIPT DEVELOPER,1
1033,CSS,CS,DBM,,0
1034,"SQL,PERL,COBOL",IT,BMP,"FRONTEND DEVELOPER,PYTHON DEVELOPER",0
1035,SWIFT,IT,DBMP,PRODUCT MANAGER,1
1036,"C#,SWIFT,C/C++",CS,B,,1
1037,"JAVA,KOTLIN,SQL",CS,B,RUBY ON RAILS DEVELOPER,1
1038,HTML,IT,B,"DATA SCIENTIST,RUBY ON RAILS DEVELOPER",0
1039,"PERL,OBJECTIVE-C",CS,DB,DATA ANALYST,1
1040,SWIFT,IT,DBM,,0
1041,"JULIA,DART",CS,DBMP,"FRONTEND DEVELOPER,BACKEND DEVELOPER",1
1042,"R,JULIA,RUST",IT,DB,"BACKEND DEVELOPER,DATA ANALYST",1
1043,"CSS,JAVASCRIPT",CS,BM,PRODUCT MANAGER,0
1044,"DART,COBOL,OBJECTIVE-C",IT,B,,1
1045,"PYTHON,CSS",IT,DBMP,"DATA SCIENTIST,REACTJS DEVELOPER",1
1046,COBOL,IT,BM,,0
1047,"JAVASCRIPT,C#",CS,DBM,RUBY ON RAILS DEVELOPER,1
1048,"PERL,C/C++,FORTRAN",CS,BMP,"BACKEND DEVELOPER,RUBY ON RAILS DEVELOPER",1
1049,"PERL,C/C++",CS,B,REACTJS DEVELOPER,1
1050,"JAVA,JULIA,PERL",IT,DBMP,"PRODUCT MANAGER,DATA ANALYST",1
1051,"PYTHON,FORTRAN",CS,BMP,,0
1052,"JAVASCRIPT,KOTLIN",IT,DB,"DATA SCIENTIST,WEB DEVELOPER",0
1053,"HTML,RUBY,RUST",IT,DBM,MEAN STACK DEVELOPER,0
1054,"JAVASCRIPT,CSS",CS,DB,"RUBY ON RAILS DEVELOPER,MEAN STACK DEVELOPER",1
1055,"SQL,PYTHON,KOTLIN",IT,B,PYTHON DEVELOPER,0
1056,PERL,CS,DB,RUBY ON RAILS DEVELOPER,1
1057,RUBY,IT,BM,,0
1058,"RUBY,PHP",IT,B,"DATA SCIENTIST,MERN STACK DEVELOPER",1
1059,JAVASCRIPT,CS,B,,0
1060,"R,DART",CS,B,"WEB DEVELOPER,FULL STACK DEVELOPER",0
1061,"JULIA,DART,OBJECTIVE-C",IT,BM,BACKEND DEVELOPER,0
1062,"SWIFT,PHP,DART",IT,BMP,,1
1063,SQL,IT,BMP,MEAN STACK DEVELOPER,0
1064,KOTLIN,CS,B,"FRONTEND DEVELOPER,PRODUCT MANAGER",0
1065,SWIFT,CS,BM,,0
1066,"C#,PYTHON,FORTRAN",IT,B,"DATA SCIENTIST,FULL STACK DEVELOPER",1
1067,CSS,IT,B,FULL STACK DEVELOPER,0
1068,"RUST,SQL",CS,BM,,0
1069,PYTHON,IT,DBMP,PRODUCT MANAGER,0
1070,"HTML,SWIFT,FORTRAN",CS,BMP,,0
1071,"JAVA,RUST",CS,DBM,,1
1072,"SWIFT,PYTHON",CS,B,FULL STACK DEVELOPER,1
1073,HTML,CS,DB,,1
1074,HTML,IT,BM,FRONTEND DEVELOPER,0
1075,"JAVASCRIPT,C#",CS,DBMP,PRODUCT MANAGER,0
1076,"HTML,CSS",CS,DBMP,"JAVASCRIPT DEVELOPER,BACKEND DEVELOPER",1
1077,"RUBY,PHP",CS,BMP,DATA ANALYST,0
1078,"SQL,DART,HTML",CS,BMP,"MEAN STACK DEVELOPER,BACKEND DEVELOPER",0
1079,"HTML,PERL",IT,DBMP,REACTJS DEVELOPER,1
1080,"CSS,OBJECTIVE-C",CS,BMP,"MEAN STACK DEVELOPER,PYTHON DEVELOPER",0
1081,PERL,CS,BM,"BACKEND DEVELOPER,REACTJS DEVELOPER",0
1082,"OBJECTIVE-C,C/C++",IT,BM,"REACTJS DEVELOPER,REACTJS DEVELOPER",0
1083,"JULIA,RUBY",IT,DB,REACTJS DEVELOPER,0
1084,"C/C++,HTML",IT,DB,"BACKEND DEVELOPER,MERN STACK DEVELOPER",1
1085,"DART,RUST,C#",IT,BMP,,1
1086,"OBJECTIVE-C,PYTHON,COBOL",IT,BM,"MEAN STACK DEVELOPER,PYTHON DEVELOPER",1
1087,"RUST,HTML,PYTHON",CS,B,,1
1088,"SQL,HTML,FORTRAN",IT,DBM,FULL STACK DEVELOPER,0
1089,"FORTRAN,KOTLIN",IT,DBMP,,1
1090,HTML,CS,DBM,"RUBY ON RAILS DEVELOPER,REACTJS DEVELOPER",0
1091,FORTRAN,IT,BMP,,0
1092,FORTRAN,CS,BM,"MERN STACK DEVELOPER,WEB DEVELOPER",1
1093,"C#,RUBY,COBOL",CS,DB,"PRODUCT MANAGER,WEB DEVELOPER",1
1094,SQL,CS,DBM,PRODUCT MANAGER,1
1095,PHP,CS,DBM,,1
1096,"HTML,DART",CS,DBMP,,1
1097,"OBJECTIVE-C,RUBY,C/C++",IT,B,"DATA SCIENTIST,REACTJS DEVELOPER",1
1098,"OBJECTIVE-C,R",IT,B,,0
1099,"JULIA,KOTLIN,PHP",CS,BMP,,1
1100,"FORTRAN,PYTHON,JAVA",CS,DBMP,,0
1101,"PHP,RUBY",CS,DBMP,REACTJS DEVELOPER,1
1102,SWIFT,IT,B,DATA ANALYST,0
1103,C#,CS,BMP,,1
1104,PERL,CS,DBMP,"MERN STACK DEVELOPER,MEAN STACK DEVELOPER",0
1105,"CSS,JAVA",IT,B,"WEB DEVELOPER,BACKEND DEVELOPER",0
1106,"R,C/C++",IT,DB,,1
1107,"R,JAVA",IT,DBM,REACTJS DEVELOPER,0
1108,"SQL,R",IT,BM,"PRODUCT MANAGER,DATA ANALYST",1
1109,JULIA,CS,BMP,,0
1110,"RUST,SQL,PHP",CS,BM,,0
1111,"JAVASCRIPT,RUBY,C#",IT,B,"PYTHON DEVELOPER,DATA ANALYST",0
1112,"COBOL,R",IT,B,MERN STACK DEVELOPER,1
1113,"CSS,DART",CS,BM,MEAN STACK DEVELOPER,1
1114,"C/C++,PHP,CSS",CS,DB,"REACTJS DEVELOPER,PYTHON DEVELOPER",1
1115,"KOTLIN,R,COBOL",IT,B,,0
1116,C/C++,CS,B,,1
1117,"SQL,JAVA,C/C++",IT,DBM,,0
1118,"JAVASCRIPT,PERL,JAVA",IT,B,"MEAN STACK DEVELOPER,DATA ANALYST",0
1119,PERL,CS,B,"PYTHON DEVELOPER,FULL STACK DEVELOPER",1
1120,C#,IT,BMP,MEAN STACK DEVELOPER,0
1121,PYTHON,CS,DBMP,,0
1122,"SQL,DART,JAVASCRIPT",CS,BMP,"JAVASCRIPT DEVELOPER,FRONTEND DEVELOPER",1
1123,"JAVASCRIPT,PERL,JAVA",IT,DB,"RUBY ON RAILS DEVELOPER,DATA SCIENTIST",1
1124,"COBOL,RUBY",CS,DBM,BACKEND DEVELOPER,1
1125,DART,CS,DBMP,"DATA SCIENTIST,PYTHON DEVELOPER",0
1126,C/C++,IT,BMP,PYTHON DEVELOPER,0
1127,JAVA,CS,DBMP,MEAN STACK DEVELOPER,1
1128,"PYTHON,R,FORTRAN",IT,DBMP,,0
1129,"C/C++,RUST",CS,B,FRONTEND DEVELOPER,1
1130,"RUST,SQL,KOTLIN",CS,B,"DATA ANALYST,MERN STACK DEVELOPER",1
1131,"JULIA,OBJECTIVE-C",IT,DB,"PYTHON DEVELOPER,PRODUCT MANAGER",0
1132,"KOTLIN,DART",CS,B,,0
1133,"JAVA,JAVASCRIPT,C#",CS,BM,,0
1134,"RUBY,RUST",CS,DBMP,,1
1135,"SWIFT,OBJECTIVE-C,KOTLIN",CS,DBMP,DATA ANALYST,0
1136,HTML,CS,B,"PRODUCT MANAGER,JAVASCRIPT DEVELOPER",0
1137,"DART,R,FORTRAN",IT,DBMP,PRODUCT MANAGER,1
1138,"JULIA,C#,PERL",CS,BMP,,0
1139,DART,IT,DB,,0
1140,"RUBY,JAVASCRIPT,DART",CS,B,BACKEND DEVELOPER,1
1141,"R,C#,COBOL",IT,DB,DATA SCIENTIST,0
1142,KOTLIN,CS,BMP,,0
1143,"COBOL,SWIFT",CS,DBM,PRODUCT MANAGER,0
1144,"CSS,HTML,JAVASCRIPT",IT,DBMP,,0
1145,FORTRAN,CS,BM,,0
1146,"SQL,COBOL,KOTLIN",CS,DBMP,,1
1147,"JAVASCRIPT,HTML",CS,DB,,1
1148,"C/C++,HTML,RUBY",CS,BM,,0
1149,"R,HTML",CS,BMP,"FULL STACK DEVELOPER,BACKEND DEVELOPER",0
1150,"R,FORTRAN",CS,BM,"DATA SCIENTIST,REACTJS DEVELOPER",1
1151,KOTLIN,IT,B,"MEAN STACK DEVELOPER,DATA ANALYST",0
1152,"C/C++,JAVASCRIPT,RUBY",CS,DBMP,"MEAN STACK DEVELOPER,DATA SCIENTIST",0
1153,COBOL,IT,DB,"DATA ANALYST,WEB DEVELOPER",1
1154,SQL,CS,B,,1
1155,"COBOL,RUST,JAVA",IT,DBMP,,1
1156,JULIA,IT,DBM,,0
1157,"JAVA,HTML,RUST",IT,B,"REACTJS DEVELOPER,MERN STACK DEVELOPER",1
1158,"R,PERL",IT,DB,REACTJS DEVELOPER,1
1159,"PYTHON,JAVA",CS,DB,"DATA ANALYST,MERN STACK DEVELOPER",0
1160,COBOL,CS,DB,"FRONTEND DEVELOPER,DATA ANALYST",0
1161,JAVA,CS,BMP,JAVASCRIPT DEVELOPER,0
1162,"JAVA,RUST",CS,DBM,RUBY ON RAILS DEVELOPER,0
1163,JULIA,CS,BM,FULL STACK DEVELOPER,1
1164,CSS,CS,BM,,1
1165,"KOTLIN,RUST",CS,B,,1
1166,SWIFT,IT,BM,RUBY ON RAILS DEVELOPER,0
